國立二林高級工商職業學校,60900309
國立北斗高級家事商業職業學校,60903805
國立南投高級商業職業學校,61611307
國立中興高級中學,61611405
國立草屯高級商工職業學校,61611502
國立南投高級中學,61616507
國立仁愛高級農業職業學校,62300007
國立暨南國際大學附屬高級中學,62300415
國立埔里高級工業職業學校,62302201
國立斗六高級中學,62504303
國立竹山高級中學,62701306
國立斗六高級家事商業職業學校,63501306
國立北港高級農工職業學校,64001201
國立北港高級中學,64004306
國立土庫高級商工職業學校,64703110
國立西螺高級農工職業學校,64703300
國立虎尾高級農工職業學校,64705308
國立嘉義女子高級中學,66007406
國立華南高級商業職業學校,66012105
國立嘉義高級中學,66018608
國立嘉義高級商業職業學校,66018706
國立嘉義高級工業職業學校,66018804
國立嘉義高級家事職業學校,66019304
國立民雄高級農工職業學校,66022602
國立嘉義大學附設實驗國民小學,66386758
國立中和高級中學,66919728
國立虎尾高級中學,67403408
國立東石高級中學,67506703
國立成功大學附設高級工業職業進修學校,69115908
國立臺南第一高級中學,69116202
國立臺南第二高級中學,69116300
國立臺南女子高級中學,69116408
國立臺南啟聰學校,69116603
國立臺南高級商業職業學校,69116701
國立臺南家齊女子高級中學,69116809
國立臺南高級海事水產職業學校,69119209
國立臺南啟智學校,69514291
國立臺南大學附設實驗國民小學,69537668
國立新營高級中學,71802207
國立後壁高級中學,71802305
國立善化高級中學,71802403
國立新營高級工業職業學校,71804508
國立白河高級商工職業學校,71806203
國立臺南大學附屬高級中學,73502613
國立玉井高級工商職業學校,73503009
國立新化高級中學,73503107
國立臺南高級工業職業學校,73503205
國立新豐高級中學,73503303
國立新化高級工業職業學校,73504106
國立北門高級農工職業學校,74502008
國立曾文高級農工職業學校,74504202
國立北門高級中學,74504300
國立曾文高級家事商業職業學校,74506200
國立溪湖高級中學,74857423
國立苗栗特殊教育學校,74877286
國立新店高級中學,76767094
國立新莊高級中學,76896858
國立金門高級中學,77355373
國立金門高級農工職業學校,77355514
國立林口啟智學校,78213991
國立馬祖高級中學,78752168
國立臺東大學附屬體育高級中學,78862616
國立彰化啟智學校,78955564
國立高雄師範大學附屬高級中學,81141938
國立林口高級中學,83314040
國立鳳山高級商工職業學校,85509409
國立鳳山高級中學,85509506
國立旗山高級農工職業學校,87402500
國立旗美高級中學,87402608
國立嘉義啟智學校,87675543
國立三重高級中學,87798670
國立中壢高級商業職業學校,87814088
國立岡山高級農工職業學校,88504104
國立岡山高級中學,88507003
國立屏東高級中學,91003701
國立屏東女子高級中學,91003809
國立屏東高級工業職業學校,91003907
國立東港高級海事水產職業學校,91605507
國立佳冬高級農業職業學校,91605605
國立恆春高級工商職業學校,91605801
國立屏東教育大學附設實驗國民小學,91746936
國立潮州高級中學,92502402
國立內埔高級農工職業學校,92502509
國立臺東高級中學,93504202
國立臺東女子高級中學,93504300
國立臺東高級商業職業學校,93504408
國立關山高級工商職業學校,93686884
國立臺東大學附設實驗國民小學,93724281
國立花蓮高級中學,94510202
國立花蓮女子高級中學,94510300
國立花蓮高級工業職業學校,94510408
國立花蓮高級農業職業學校,94510505
國立花蓮高級商業職業學校,94510603
國立澎湖高級海事水產職業學校,96076702
國立馬公高級中學,96402805
國立水里高級商工職業學校,98169184
國立政治大學附屬高級中學,99326850
國立新港藝術高級中學,99505100
